replication,strategy,budget,best_r2
3,AIBA,87,0.9982094301032671
3,AIBA,88,0.9982094301032671
3,AIBA,89,0.9982094301032671
3,AIBA,90,0.9982094301032671
3,AIBA,91,0.9982094301032671
3,AIBA,92,0.9982094301032671
3,AIBA,93,0.9982094301032671
3,AIBA,94,0.9982094301032671
3,AIBA,95,0.9982094301032671
3,AIBA,96,0.9982094301032671
3,AIBA,97,0.9982094301032671
3,AIBA,98,0.9982094301032671
3,AIBA,99,0.9982094301032671
3,AIBA,100,0.9982094301032671
3,AIBA,101,0.9982094301032671
3,AIBA,102,0.9982094301032671
3,AIBA,103,0.9982094301032671
3,AIBA,104,0.9982094301032671
3,AIBA,105,0.9982094301032671
3,AIBA,106,0.9982094301032671
3,AIBA,107,0.9982094301032671
3,AIBA,108,0.9982094301032671
3,AIBA,109,0.9982094301032671
3,AIBA,110,0.9982094301032671
3,AIBA,111,0.9982094301032671
3,AIBA,112,0.9982094301032671
3,AIBA,113,0.9982094301032671
3,AIBA,114,0.9982094301032671
3,AIBA,115,0.9982094301032671
3,AIBA,116,0.9982094301032671
3,AIBA,117,0.9982094301032671
3,AIBA,118,0.9982094301032671
3,AIBA,119,0.9982094301032671
3,AIBA,120,0.9982094301032671
3,Broad,1,0.2925590276047859
3,Broad,2,0.2925590276047859
3,Broad,3,0.2925590276047859
3,Broad,4,0.2925590276047859
3,Broad,5,0.5753523175308498
3,Broad,6,0.5753523175308498
3,Broad,7,0.5753523175308498
3,Broad,8,0.5753523175308498
3,Broad,9,0.5753523175308498
3,Broad,10,0.5800249125615081
3,Broad,11,0.5800249125615081
3,Broad,12,0.5800249125615081
3,Broad,13,0.5800249125615081
3,Broad,14,0.9763870213381552
3,Broad,15,0.9763870213381552
3,Broad,16,0.9967796206381178
3,Broad,17,0.9967796206381178
3,Broad,18,0.9967796206381178
3,Broad,19,0.9967796206381178
3,Broad,20,0.9967796206381178
3,Broad,21,0.9967796206381178
3,Broad,22,0.9967796206381178
3,Broad,23,0.9967796206381178
3,Broad,24,0.9967796206381178
3,Broad,25,0.9967796206381178
3,Broad,26,0.9967796206381178
3,Broad,27,0.9967796206381178
3,Broad,28,0.996843641079652
3,Broad,29,0.996843641079652
3,Broad,30,0.996843641079652
3,Broad,31,0.996843641079652
3,Broad,32,0.996843641079652
3,Broad,33,0.996843641079652
3,Broad,34,0.996843641079652
3,Broad,35,0.996843641079652
3,Broad,36,0.996843641079652
3,Broad,37,0.996843641079652
3,Broad,38,0.996843641079652
3,Broad,39,0.996843641079652
3,Broad,40,0.996843641079652
3,Broad,41,0.996843641079652
3,Broad,42,0.996843641079652
3,Broad,43,0.996843641079652
3,Broad,44,0.996843641079652
3,Broad,45,0.996843641079652
3,Broad,46,0.996843641079652
3,Broad,47,0.996843641079652
3,Broad,48,0.996843641079652
3,Broad,49,0.996843641079652
3,Broad,50,0.996843641079652
3,Broad,51,0.996843641079652
3,Broad,52,0.996843641079652
3,Broad,53,0.996843641079652
3,Broad,54,0.996843641079652
3,Broad,55,0.996843641079652
3,Broad,56,0.996843641079652
3,Broad,57,0.996843641079652
3,Broad,58,0.996843641079652
3,Broad,59,0.996843641079652
3,Broad,60,0.996843641079652
3,Broad,61,0.996843641079652
3,Broad,62,0.996843641079652
3,Broad,63,0.996843641079652
3,Broad,64,0.996843641079652
3,Broad,65,0.996843641079652
3,Broad,66,0.996843641079652
3,Broad,67,0.996843641079652
3,Broad,68,0.996843641079652
3,Broad,69,0.996843641079652
3,Broad,70,0.996843641079652
3,Broad,71,0.9982094301032671
3,Broad,72,0.9982094301032671
3,Broad,73,0.9982094301032671
3,Broad,74,0.9982094301032671
3,Broad,75,0.9982094301032671
