batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
32,47,0.005142624587617373,344,0.005615946350266414,3,0.5,0.9874238927005494,1.4448061999864876,47,240113,112041,1,initial_shared
26,1,0.036663893074008136,37,0.05004441313196931,2,1.0,0.19135769313643758,0.3873766000615433,1,1703,112042,1,initial_shared
75,2,0.0004421328541598957,177,0.011293949256043484,2,0.5,-0.45114204202404506,0.4758480000309646,2,32923,112043,1,initial_shared
2,3,0.018262000379982348,50,2.9249029099297672e-05,1,1.0,0.773677269010933,0.6198680000379682,3,401,112044,1,initial_shared
31,4,0.0023665485995251288,80,0.24562741612706548,1,0.0,-0.39673155083368883,0.42742009996436536,4,641,112045,1,initial_shared
128,9,3.6901583620480805e-05,8,6.589632288119108e-05,2,0.5,-0.47063610855625915,0.4249983000336215,9,137,112046,1,initial_shared
9,276,0.0013103178528687204,14,0.019041370119917765,2,0.0,0.9920871258705645,5.482899200054817,276,323,112047,1,initial_shared
33,4,0.004348626475758021,204,0.0008887973657279547,2,0.0,0.8824662353623282,0.3999674000078812,4,43453,112048,1,initial_shared
236,29,0.03294061362613595,90,1.5727650981464464e-05,2,0.5,-0.03882924072342875,0.45771449990570545,29,8911,112049,1,initial_shared
6,28,0.03384445421828075,9,0.006875011050803487,1,1.0,0.980739984967939,0.8976107001071796,28,73,112050,1,initial_shared
8,5,0.008647827288558693,475,0.036103121923176974,3,0.5,-0.05099596843934617,0.834459799923934,5,456001,112051,1,initial_shared
3,3,7.329463964975876e-05,3,0.05756443087428939,2,0.0,-0.6190856950029089,0.4929520000005141,3,37,112052,1,initial_shared
2,19,0.00019384047160026882,258,0.0021317826083243263,1,0.5,0.18878029806255803,1.7872067999560386,19,2065,112053,1,initial_shared
5,35,0.00020805680875211774,54,0.00032610690357198926,2,0.5,-0.024064760669688656,1.644047599984333,35,3403,112054,1,initial_shared
12,7,0.04846800890900918,49,0.002476477492687085,3,1.0,0.8610024893995358,0.6698560001095757,7,5293,112055,1,initial_shared
151,47,0.08323245382755365,17,0.004598590724137473,1,1.0,0.9239575703752685,0.4149019999895245,47,137,112056,1,initial_shared
29,374,3.478086757851719e-05,176,0.008873553631442724,2,0.0,0.8015177513052097,3.982087300042622,374,32561,112057,1,initial_shared
5,95,0.006129961289613608,49,0.6473901043627872,1,0.5,0.9772901715862734,3.5531454998999834,95,393,112058,1,initial_shared
78,57,0.01002718886856907,8,0.0013223981195166015,2,1.0,0.48478671911811444,0.6524388999678195,57,137,112059,1,initial_shared
57,4,4.9656738024763787e-05,46,0.18779031301082016,2,0.5,-0.5393282555227961,0.3971218999940902,4,2531,112060,1,initial_shared
1,26,0.04111685281868171,43,1.688136964369847e-05,2,1.0,0.9157885510854162,4.3634065999649465,26,2237,112061,1,initial_shared
12,124,0.0001131575721240465,8,0.1172496626618194,3,1.0,-0.197801924058995,2.3506569999735802,124,209,112062,1,initial_shared
206,46,1.558833771254713e-05,600,0.1408440505439624,1,1.0,-0.5386575026087801,0.5334518000017852,46,4801,112063,1,initial_shared
12,121,2.2322810014166758e-05,34,0.0054402430301250535,3,0.0,-0.29893229301081403,2.4460187000222504,121,2653,112064,1,initial_shared
14,27,0.0038219370993495486,7,3.4981744179597884e-05,3,0.0,0.940981631978817,1.1224238999420777,27,169,112065,1,initial_shared
80,2,0.010155443207888885,6,0.03656553030448467,2,0.5,-0.5366036350143393,0.36431490001268685,2,91,112066,1,initial_shared
3,9,0.00021263809515186967,20,0.008021361612752612,3,0.5,-0.35325253958276925,0.8892269999487326,9,1001,112067,1,initial_shared
199,3,0.0023644076190316703,3,0.0005572666653444509,3,1.0,-0.5670843867870907,0.44948670000303537,3,49,112068,1,initial_shared
14,174,9.375723203084116e-05,188,0.6812537175758154,3,1.0,0.5088988501652791,3.489312499994412,174,72569,112069,1,initial_shared
5,18,0.001536001981200987,425,0.05742429035507129,1,0.5,0.6770508108163416,0.8132570000598207,18,3401,112070,1,initial_shared
45,65,1.61241447413073e-05,17,0.08137119216343533,3,1.0,-0.5572100827052275,0.7575799999758601,65,749,112071,1,initial_shared
2,71,4.395365198974934e-05,5,0.08117680286992647,2,0.5,-0.5553710922552242,4.840307200094685,71,71,112072,1,initial_shared
15,2,0.024891411479764924,563,0.04911438536786146,1,0.0,0.9024883288512516,0.31622450007125735,2,4505,112073,1,initial_shared
131,81,0.003645753220735489,297,0.0010751951046458188,1,0.5,0.6155164283191727,0.5210082000121474,81,2377,112074,1,initial_shared
43,80,0.020220354907053654,290,0.016923609027051176,2,0.0,0.9969387990675019,1.051431900006719,80,86711,112075,1,initial_shared
54,46,1.1436367714395434e-05,13,4.677263555956297e-05,3,0.0,-0.5830730444408274,0.6525838000234216,46,469,112076,1,initial_shared
64,150,0.00364814175719757,487,0.0005493509442259646,1,0.5,0.7713349606593933,0.9471288999775425,150,3897,112077,1,initial_shared
201,1,5.073431739951735e-05,261,0.00015083840748907865,3,1.0,-0.565615885605395,0.4237622000509873,1,138853,112078,1,initial_shared
32,2,0.0007584255262090611,89,0.0036910816908563107,3,0.0,-0.486068113605036,0.43522220000158995,2,16733,112079,1,initial_shared
192,356,0.0011559382232283646,42,0.23629404248839792,3,1.0,0.8611635489850538,1.3433090999023989,356,3949,112080,1,initial_shared
8,3,0.00010467965967214425,4,0.4428218658452287,2,1.0,-0.5844673236452465,0.4255770000163466,3,53,112081,1,initial_shared
8,2,0.015677149230322554,35,0.2655318431219078,3,1.0,0.35910723453673066,0.4739207999082282,2,2801,112082,1,initial_shared
